# 网络仿真脚本 - 波动网络场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
430000 10000 80 482 51 阶段2: 高拥塞-时间段4
440000 10000 80 536 70 阶段2: 高拥塞-时间段5
450000 10000 80 513 74 阶段2: 高拥塞-时间段6
460000 10000 78 473 67 阶段2: 高拥塞-时间段7
470000 10000 70 437 73 阶段2: 高拥塞-时间段8
480000 10000 71 564 62 阶段2: 高拥塞-时间段9
490000 10000 74 479 74 阶段2: 高拥塞-时间段10
500000 10000 70 465 74 阶段2: 高拥塞-时间段11
510000 10000 80 431 72 阶段2: 高拥塞-时间段12
520000 10000 80 460 60 阶段2: 高拥塞-时间段13
530000 10000 80 400 63 阶段2: 高拥塞-时间段14
540000 10000 79 425 73 阶段2: 高拥塞-时间段15
550000 10000 80 416 60 阶段2: 高拥塞-时间段16
560000 10000 78 520 57 阶段2: 高拥塞-时间段17
570000 10000 80 456 61 阶段2: 高拥塞-时间段18
580000 10000 70 455 72 阶段2: 高拥塞-时间段19
590000 10000 76 408 56 阶段2: 高拥塞-时间段20
600000 10000 76 452 55 阶段2: 高拥塞-时间段21
610000 10000 75 404 67 阶段2: 高拥塞-时间段22
620000 10000 74 460 69 阶段2: 高拥塞-时间段23
630000 10000 80 416 70 阶段2: 高拥塞-时间段24
640000 10000 80 400 67 阶段2: 高拥塞-时间段25
650000 10000 70 400 72 阶段2: 高拥塞-时间段26
660000 10000 70 400 57 阶段2: 高拥塞-时间段27
670000 10000 79 400 51 阶段2: 高拥塞-时间段28
680000 10000 75 550 54 阶段2: 高拥塞-时间段29
690000 10000 80 400 61 阶段2: 高拥塞-时间段30
700000 10000 74 454 74 阶段2: 高拥塞-时间段31
710000 10000 70 400 72 阶段2: 高拥塞-时间段32
720000 10000 70 400 70 阶段2: 高拥塞-时间段33
730000 10000 70 536 67 阶段2: 高拥塞-时间段34
740000 10000 70 445 67 阶段2: 高拥塞-时间段35
750000 10000 70 468 65 阶段2: 高拥塞-时间段36
760000 10000 80 400 59 阶段2: 高拥塞-时间段37
770000 10000 75 400 58 阶段2: 高拥塞-时间段38
780000 10000 80 400 58 阶段2: 高拥塞-时间段39
790000 10000 80 400 67 阶段2: 高拥塞-时间段40
800000 10000 80 389 31 阶段3: 中拥塞-时间段1
810000 10000 90 298 29 阶段3: 中拥塞-时间段2
820000 10000 80 318 28 阶段3: 中拥塞-时间段3
830000 10000 80 321 26 阶段3: 中拥塞-时间段4
840000 10000 88 391 28 阶段3: 中拥塞-时间段5
850000 10000 80 400 30 阶段3: 中拥塞-时间段6
860000 10000 81 376 26 阶段3: 中拥塞-时间段7
870000 10000 80 315 30 阶段3: 中拥塞-时间段8
880000 10000 80 337 31 阶段3: 中拥塞-时间段9
890000 10000 80 314 25 阶段3: 中拥塞-时间段10
900000 10000 84 347 28 阶段3: 中拥塞-时间段11
910000 10000 80 336 28 阶段3: 中拥塞-时间段12
920000 10000 80 379 23 阶段3: 中拥塞-时间段13
930000 10000 80 314 30 阶段3: 中拥塞-时间段14
940000 10000 90 391 25 阶段3: 中拥塞-时间段15
950000 10000 80 334 28 阶段3: 中拥塞-时间段16
960000 10000 90 398 24 阶段3: 中拥塞-时间段17
970000 10000 89 370 31 阶段3: 中拥塞-时间段18
980000 10000 86 384 31 阶段3: 中拥塞-时间段19
990000 10000 80 341 27 阶段3: 中拥塞-时间段20
1000000 10000 80 384 24 阶段3: 中拥塞-时间段21
1010000 10000 84 386 26 阶段3: 中拥塞-时间段22
1020000 10000 82 390 25 阶段3: 中拥塞-时间段23
1030000 10000 80 321 31 阶段3: 中拥塞-时间段24
1040000 10000 80 316 26 阶段3: 中拥塞-时间段25
1050000 10000 80 309 30 阶段3: 中拥塞-时间段26
1060000 10000 82 359 25 阶段3: 中拥塞-时间段27
1070000 10000 80 357 32 阶段3: 中拥塞-时间段28
1080000 10000 80 327 24 阶段3: 中拥塞-时间段29
1090000 10000 90 318 24 阶段3: 中拥塞-时间段30
1100000 10000 80 308 27 阶段3: 中拥塞-时间段31
1110000 10000 81 376 30 阶段3: 中拥塞-时间段32
1120000 10000 90 346 26 阶段3: 中拥塞-时间段33
1130000 10000 80 344 26 阶段3: 中拥塞-时间段34
1140000 10000 80 394 29 阶段3: 中拥塞-时间段35
1150000 10000 80 373 26 阶段3: 中拥塞-时间段36
1160000 10000 80 367 30 阶段3: 中拥塞-时间段37
1170000 10000 80 303 27 阶段3: 中拥塞-时间段38
1180000 10000 86 331 24 阶段3: 中拥塞-时间段39
1190000 10000 80 341 24 阶段3: 中拥塞-时间段40
