# 网络仿真脚本 - 低-中-低拥塞场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
490000 10000 80 210 25 阶段2: 中拥塞-时间段10
500000 10000 80 249 26 阶段2: 中拥塞-时间段11
510000 10000 80 230 23 阶段2: 中拥塞-时间段12
520000 10000 80 256 26 阶段2: 中拥塞-时间段13
530000 10000 80 211 22 阶段2: 中拥塞-时间段14
540000 10000 86 259 21 阶段2: 中拥塞-时间段15
550000 10000 89 259 26 阶段2: 中拥塞-时间段16
560000 10000 84 243 26 阶段2: 中拥塞-时间段17
570000 10000 87 262 26 阶段2: 中拥塞-时间段18
580000 10000 80 260 22 阶段2: 中拥塞-时间段19
590000 10000 80 240 26 阶段2: 中拥塞-时间段20
600000 10000 80 252 22 阶段2: 中拥塞-时间段21
610000 10000 84 253 25 阶段2: 中拥塞-时间段22
620000 10000 80 219 24 阶段2: 中拥塞-时间段23
630000 10000 80 228 24 阶段2: 中拥塞-时间段24
640000 10000 80 251 25 阶段2: 中拥塞-时间段25
650000 10000 90 212 26 阶段2: 中拥塞-时间段26
660000 10000 83 232 22 阶段2: 中拥塞-时间段27
670000 10000 85 257 24 阶段2: 中拥塞-时间段28
680000 10000 83 243 24 阶段2: 中拥塞-时间段29
690000 10000 88 222 21 阶段2: 中拥塞-时间段30
700000 10000 80 246 23 阶段2: 中拥塞-时间段31
710000 10000 80 268 25 阶段2: 中拥塞-时间段32
720000 10000 80 254 23 阶段2: 中拥塞-时间段33
730000 10000 80 243 27 阶段2: 中拥塞-时间段34
740000 10000 80 260 22 阶段2: 中拥塞-时间段35
750000 10000 80 257 27 阶段2: 中拥塞-时间段36
760000 10000 89 215 25 阶段2: 中拥塞-时间段37
770000 10000 80 253 23 阶段2: 中拥塞-时间段38
780000 10000 81 273 21 阶段2: 中拥塞-时间段39
790000 10000 80 256 24 阶段2: 中拥塞-时间段40
800000 10000 90 169 4 阶段3: 低拥塞-时间段1
810000 10000 94 177 5 阶段3: 低拥塞-时间段2
820000 10000 100 164 5 阶段3: 低拥塞-时间段3
830000 10000 92 160 4 阶段3: 低拥塞-时间段4
840000 10000 95 165 5 阶段3: 低拥塞-时间段5
850000 10000 100 180 4 阶段3: 低拥塞-时间段6
860000 10000 97 167 5 阶段3: 低拥塞-时间段7
870000 10000 100 165 4 阶段3: 低拥塞-时间段8
880000 10000 91 153 5 阶段3: 低拥塞-时间段9
890000 10000 90 158 4 阶段3: 低拥塞-时间段10
900000 10000 92 155 5 阶段3: 低拥塞-时间段11
910000 10000 90 181 4 阶段3: 低拥塞-时间段12
920000 10000 97 157 4 阶段3: 低拥塞-时间段13
930000 10000 91 177 4 阶段3: 低拥塞-时间段14
940000 10000 90 175 4 阶段3: 低拥塞-时间段15
950000 10000 100 165 5 阶段3: 低拥塞-时间段16
960000 10000 100 178 4 阶段3: 低拥塞-时间段17
970000 10000 98 157 4 阶段3: 低拥塞-时间段18
980000 10000 90 167 4 阶段3: 低拥塞-时间段19
990000 10000 100 178 5 阶段3: 低拥塞-时间段20
1000000 10000 98 171 5 阶段3: 低拥塞-时间段21
1010000 10000 100 165 4 阶段3: 低拥塞-时间段22
1020000 10000 99 178 4 阶段3: 低拥塞-时间段23
1030000 10000 100 172 5 阶段3: 低拥塞-时间段24
1040000 10000 100 152 4 阶段3: 低拥塞-时间段25
1050000 10000 94 150 5 阶段3: 低拥塞-时间段26
1060000 10000 92 168 5 阶段3: 低拥塞-时间段27
1070000 10000 95 177 4 阶段3: 低拥塞-时间段28
1080000 10000 90 171 4 阶段3: 低拥塞-时间段29
1090000 10000 100 180 4 阶段3: 低拥塞-时间段30
1100000 10000 96 153 5 阶段3: 低拥塞-时间段31
1110000 10000 93 167 4 阶段3: 低拥塞-时间段32
1120000 10000 100 176 5 阶段3: 低拥塞-时间段33
1130000 10000 98 180 4 阶段3: 低拥塞-时间段34
1140000 10000 91 173 4 阶段3: 低拥塞-时间段35
1150000 10000 98 170 4 阶段3: 低拥塞-时间段36
1160000 10000 100 160 5 阶段3: 低拥塞-时间段37
1170000 10000 100 161 4 阶段3: 低拥塞-时间段38
1180000 10000 100 162 4 阶段3: 低拥塞-时间段39
1190000 10000 96 155 5 阶段3: 低拥塞-时间段40
