# 网络仿真脚本 - 中-高-中拥塞场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
1050000 10000 90 374 32 阶段3: 中拥塞-时间段26
1060000 10000 90 365 31 阶段3: 中拥塞-时间段27
1070000 10000 80 400 33 阶段3: 中拥塞-时间段28
1080000 10000 80 351 33 阶段3: 中拥塞-时间段29
1090000 10000 90 370 32 阶段3: 中拥塞-时间段30
1100000 10000 90 383 33 阶段3: 中拥塞-时间段31
1110000 10000 90 343 36 阶段3: 中拥塞-时间段32
1120000 10000 80 339 32 阶段3: 中拥塞-时间段33
1130000 10000 82 399 31 阶段3: 中拥塞-时间段34
1140000 10000 80 393 29 阶段3: 中拥塞-时间段35
1150000 10000 90 393 28 阶段3: 中拥塞-时间段36
1160000 10000 90 367 29 阶段3: 中拥塞-时间段37
1170000 10000 80 400 32 阶段3: 中拥塞-时间段38
1180000 10000 86 400 31 阶段3: 中拥塞-时间段39
1190000 10000 90 400 37 阶段3: 中拥塞-时间段40
